,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,（品目分類）第２表　１世帯当たりの品目別支出金額（総世帯）,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,(Commodity Classification) Table 2. Yearly Amount of Expenditures of Commodities per Household (Total Households) ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,単位　円,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,In  Yen,,,,
,,,,,,,項      目,,,,,,,,,,,,,,,,,Item,,,,,,,
,,,,,,,,,,,,,,,,平成21年,22,23,24,25,26,27,28,,,,,,,,
,,,,,,,,,,,,,,,,計,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000P,80*01       ,            ,01,,127,,,,,乾物・海藻,,,,,,"7,827","7,421","7,322","7,004","7,235","7,271","7,417","7,498",,Dried vegetables & seaweeds,,,,,,
1000P,80*01       ,            ,01,,128,,,,,,豆類,,,,,526,518,471,480,441,461,439,438,,Beans,,,,,,
1000P,80*01       ,            ,01,,129,,,,,,干ししいたけ,,,,,494,464,441,424,446,375,400,383,,"“Shiitake”, Japanese mushrooms, dried",,,,,,
1000P,80*01       ,            ,01,,130,,,,,,干しのり,,,,,"2,264","2,019","2,115","1,924","2,058","2,023","2,095","2,101",,Dried laver,,,,,,
1000P,80*01       ,            ,01,,131,,,,,,わかめ,,,,,"1,214","1,154","1,006","1,040","1,112","1,188","1,171","1,282",,"“Wakame”, seaweed",,,,,,
1000P,80*01       ,            ,01,,132,,,,,,こんぶ,,,,,983,930,936,896,886,889,899,819,,Dried tangle,,,,,,
1000P,80*01       ,            ,01,,133,,,,,,他の乾物・海藻,,,,,"2,346","2,337","2,353","2,240","2,292","2,333","2,413","2,475",,Other dried vegetables & seaweeds,,,,,,
1000P,80*01       ,            ,01,,134,,,,,大豆加工品,,,,,,"11,257","10,865","10,596","10,403","10,551","10,527","10,832","10,787",,Soybean products,,,,,,
1000P,80*01       ,            ,01,,135,,,,,,豆腐,,,,,"5,087","4,949","4,697","4,613","4,584","4,549","4,594","4,541",,Bean curd,,,,,,
1000P,80*01       ,            ,01,,136,,,,,,油揚げ・がんもどき,,,,,"2,706","2,605","2,599","2,465","2,465","2,499","2,567","2,479",,Fried bean curd,,,,,,
1000P,80*01       ,            ,01,,137,,,,,,納豆,,,,,"2,884","2,733","2,759","2,751","2,912","2,868","3,011","3,135",,"“Natto”, fermented soybeans",,,,,,
1000P,80*01       ,            ,01,,138,,,,,,他の大豆製品,,,,,579,577,541,574,590,611,659,632,,Other soybean products,,,,,,
